"year","nrep","uspop","ratio"
"2",1790,65,3929214,0.49628246259939
"3",1791,69,4067140.9,0.508957041542377
"4",1792,69,4205067.8,0.492263168741298
"5",1793,105,4342994.7,0.725305973778877
"6",1794,105,4480921.6,0.70298038689184
"7",1795,105,4618848.5,0.681988162201033
"8",1796,105,4756775.4,0.662213313666229
"9",1797,105,4894702.3,0.643552928642872
"10",1798,105,5032629.2,0.625915376400073
"11",1799,105,5170556.1,0.609218803370106
"12",1800,105,5308483,0.593389862979687
"13",1801,105,5501622.8,0.572558336787466
"14",1802,105,5694762.6,0.553139827110616
"15",1803,141,5887902.4,0.718422234716391
"16",1804,141,6081042.2,0.695604447540259
"17",1805,141,6274182,0.674191472290731
"18",1806,141,6467321.8,0.654057449252023
"19",1807,141,6660461.6,0.635091117408439
"20",1808,141,6853601.4,0.617193757430947
"21",1809,141,7046741.2,0.600277472940258
"22",1810,141,7239881,0.584263746876503
"23",1811,141,7479738.2,0.565527814863895
"24",1812,141,7719595.4,0.547956179154156
"25",1813,182,7959452.6,0.685976822074423
"26",1814,182,8199309.8,0.665909708644013
"27",1815,183,8439167,0.650538139605485
"28",1816,183,8679024.2,0.632559591203813
"29",1817,185,8918881.4,0.622275344977678
"30",1818,185,9158738.6,0.605978644264397
"31",1819,187,9398595.8,0.59689767699128
"32",1820,187,9638453,0.582043612185483
"33",1821,213,9960677.9,0.641522601589195
"34",1822,213,10282902.8,0.621419858213578
"35",1823,213,10605127.7,0.602538713418793
"36",1824,213,10927352.6,0.584771100000928
"37",1825,213,11249577.5,0.568021332356704
"38",1826,213,11571802.4,0.552204382611995
"39",1827,213,11894027.3,0.537244436962071
"40",1828,213,12216252.2,0.523073680486066
"41",1829,213,12538477.1,0.509631269334934
"42",1830,213,12860702,0.496862457430395
"43",1831,213,13280967.1,0.4811396603791
"44",1832,213,13701232.2,0.466381410571233
"45",1833,240,14121497.3,0.509860947960525
"46",1834,240,14541762.4,0.49512568022704
"47",1835,242,14962027.5,0.485228355582156
"48",1836,242,15382292.6,0.471971258692609
"49",1837,242,15802557.7,0.459419300206067
"50",1838,242,16222822.8,0.447517678612627
"51",1839,242,16643087.9,0.43621712771222
"52",1840,242,17063353,0.425473234949778
"53",1841,242,17676205.3,0.410721638314531
"54",1842,242,18289057.6,0.396958671068978
"55",1843,223,18901909.9,0.353932488060373
"56",1844,223,19514762.2,0.342817398000371
"57",1845,225,20127614.5,0.335360159049151
"58",1846,225,20740466.8,0.325450727078139
"59",1847,227,21353319.1,0.318919975302575
"60",1848,227,21966171.4,0.310022164354049
"61",1849,227,22579023.7,0.301607371978621
"62",1850,227,23191876,0.293637306442998
"63",1851,233,24017020.5,0.291043595520102
"64",1852,233,24842165,0.281376442029107
"65",1853,234,25667309.5,0.273499643583602
"66",1854,234,26492454,0.264981114999766
"67",1855,234,27317598.5,0.256977200979069
"68",1856,234,28142743,0.249442636064296
"69",1857,237,28967887.5,0.245444200927665
"70",1858,237,29793032,0.238646405642769
"71",1859,237,30618176.5,0.232215004704803
"72",1860,237,31443321,0.226121153042327
"73",1861,178,32154826,0.166071494213652
"74",1862,178,32866331,0.162476304397957
"75",1863,183,33577836,0.16350070921783
"76",1864,183,34289341,0.160108063902424
"77",1865,191,35000846,0.163710328601772
"78",1866,191,35712351,0.160448691826534
"79",1867,193,36423856,0.158961752978597
"80",1868,193,37135361,0.155916082248399
"81",1869,243,37846866,0.192618326706365
"82",1870,243,38558371,0.189064003767172
"83",1871,243,39721454.8,0.183528021234509
"84",1872,243,40884538.6,0.178307014084782
"85",1873,293,42047622.4,0.209048680954669
"86",1874,293,43210706.2,0.203421808459127
"87",1875,293,44373790,0.198089908479758
"88",1876,293,45536873.8,0.19303037882236
"89",1877,293,46699957.6,0.18822286896466
"90",1878,293,47863041.4,0.18364900647538
"91",1879,293,49026125.2,0.1792921623755
"92",1880,293,50189209,0.175137249124608
"93",1881,293,51468264.7,0.170784852592864
"94",1882,293,52747320.4,0.166643536265778
"95",1883,325,54026376.1,0.180467406919044
"96",1884,325,55305431.8,0.176293714426799
"97",1885,325,56584487.5,0.172308709166978
"98",1886,325,57863543.2,0.168499878521093
"99",1887,325,59142598.9,0.164855792294241
"100",1888,325,60421654.6,0.161365988146905
"101",1889,330,61700710.3,0.160451961604079
"102",1890,330,62979766,0.157193343652626
"103",1891,333,64303006.2,0.15535821091985
"104",1892,333,65626246.4,0.152225680242471
"105",1893,357,66949486.6,0.159971353686228
"106",1894,357,68272726.8,0.156870839967681
"107",1895,357,69595967,0.153888227460077
"108",1896,357,70919207.2,0.151016916613247
"109",1897,357,72242447.4,0.148250791403836
"110",1898,357,73565687.6,0.14558417584885
"111",1899,357,74888927.8,0.14301179512948
"112",1900,357,76212168,0.140528740764861
"113",1901,386,77813800.8,0.14881678932203
"114",1902,386,79415433.6,0.145815485417182
"115",1903,386,81017066.4,0.142932847541367
"116",1904,386,82618699.2,0.140161974372988
